#Altium Designer Pick and Place Locations,,,,,,,,,
#C:\Users\Steven\Dropbox\MAGE\Node\Node PCB Designs\Project Outputs for Node\Pick Place\Pick Place for Node.csv,,,,,,,,,
,,,,,,,,,
#========================================================================================================================,,,,,,,,,
#File Design Information:,,,,,,,,,
,,,,,,,,,
#Date:       07/10/17,,,,,,,,,
#Time:       14:36,,,,,,,,,
#Revision:   Not in VersionControl,,,,,,,,,
#Variant:    No variations,,,,,,,,,
#Units used: mil,,,,,,,,,
,,,,,,,,,
#Designator,Center-X(mil),Center-Y(mil),Rotation,Layer,Type,Xsize,Ysize,Value,Footprint
C1,-295.276,-944.881,90,Top,1,,,100nF,CAPC0402(1005)60_L
C10,-307.087,-122.048,90,Top,1,,,1uF,CAPC0402(1005)60_L
C100,379.079,535.433,90,Bottom,1,,,10uF,CAPC0402(1005)60_L
C101,255.906,956.693,90,Bottom,1,,,20pF,CAPC0402(1005)60_L
C102,381.889,1157.481,180,Bottom,1,,,20pF,CAPC0402(1005)60_L
C103,712.599,342.52,360,Bottom,1,,,10pF,CAPC0402(1005)60_L
C104,531.496,598.424,360,Bottom,1,,,1.5nF,CAPC0402(1005)60_L
C105,531.496,633.859,360,Bottom,1,,,1.5nF,CAPC0402(1005)60_L
C106,531.496,523.622,360,Bottom,1,,,1.2nF,CAPC0402(1005)60_L
C107,645.669,342.519,360,Bottom,1,,,680pF,CAPC0402(1005)60_L
C108,712.599,307.087,360,Bottom,1,,,200pF,CAPC0402(1005)60_L
C109,787.401,307.086,180,Bottom,1,,,100pF,CAPC0402(1005)60_L
C11,523.622,-346.456,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C110,787.401,342.519,360,Bottom,1,,,20pF,CAPC0402(1005)60_L
C111,464.567,523.621,360,Bottom,1,,,1.2nF,CAPC0402(1005)60_L
C112,645.669,307.087,360,Bottom,1,,,680pF,CAPC0402(1005)60_L
C115,224.41,165.354,90,Top,1,,,100nF,CAPC0402(1005)60_L
